"시점","행정구역(시군구)별","성별",계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80세 이상,80 - 84세,85세 이상,85 - 89세,90 - 94세,95 - 99세,100세 이상
"2021","경기도","계",13398945,469071.5,653215,666009,655647,844832,951087,875551.5,1016947.5,1111072,1167033.5,1176744.5,1053134,949577.5,634106.5,430717.5,332442,411757,236029,175728,122155,42636.5,9483.5,1453
"2021","경기도","남자",6740110,240377.5,334059,341352,337664,439978.5,506176,456063,521197.5,565432.5,592202,591368,536819.5,477471.5,309688.5,202071.5,145100.5,143088.5,91758.5,51330,38929,10200.5,1929,271.5
"2021","경기도","여자",6658835,228694,319156,324657,317983,404853.5,444911,419488.5,495750,545639.5,574831.5,585376.5,516314.5,472106,324418,228646,187341.5,268668.5,144270.5,124398,83226,32436,7554.5,1181.5
"2021","강원도","계",1530536.5,43784.5,59462,65071,70448.5,91143,86000,75486.5,88025,101735.5,118288,131531,132246.5,143634,105208.5,68618.5,64517,85337,49725.5,35611.5,24112.5,9016,2151,332
"2021","강원도","남자",770403,22424.5,30373.5,33685,36813,50765.5,48940,40623.5,45450.5,51672,61184.5,68306.5,67552,71903,52163.5,32120.5,27725,28700.5,18993,9707.5,7218,1935,490,64.5
"2021","강원도","여자",760133.5,21360,29088.5,31386,33635.5,40377.5,37060,34863,42574.5,50063.5,57103.5,63224.5,64694.5,71731,53045,36498,36792,56636.5,30732.5,25904,16894.5,7081,1661,267.5
"2021","충청북도","계",1591246,50510,69628.5,73337.5,74435,95232,101020.5,88542,103047.5,112602,124943.5,137641,132692,134354.5,96886,64396.5,55377.5,76600,43411.5,33188.5,23701.5,7645.5,1605.5,236
"2021","충청북도","남자",806851.5,25932,35448,37885,38929.5,51616.5,57662,48201.5,53824.5,58398.5,64563.5,70491,68603,67979,47942.5,30795,23420,25160,16122,9038,7002.5,1688.5,312.5,34.5
"2021","충청북도","여자",784394.5,24578,34180.5,35452.5,35505.5,43615.5,43358.5,40340.5,49223,54203.5,60380,67150,64089,66375.5,48943.5,33601.5,31957.5,51440,27289.5,24150.5,16699,5957,1293,201.5
"2021","충청남도","계",2109102,69721,97906.5,101919.5,99487.5,118652.5,121380,118919,143807.5,157473.5,166780.5,172835.5,164788.5,165281.5,122430.5,94898.5,76036,116784,63563,53221,38123,12150,2565.5,382.5
"2021","충청남도","남자",1077094,35709.5,50137.5,52844.5,51726,64478.5,68098,64894,76615,83954.5,88745,91858,86788,83888.5,60267,45572,32427.5,39090.5,23565.5,15525,12045,2930.5,497.5,52
"2021","충청남도","여자",1032008,34011.5,47769,49075,47761.5,54174,53282,54025,67192.5,73519,78035.5,80977.5,78000.5,81393,62163.5,49326.5,43608.5,77693.5,39997.5,37696,26078,9219.5,2068,330.5
"2021","전라북도","계",1786321.5,48866,75287.5,83363.5,89035,109584.5,98803,82825.5,101654,120383,141765.5,151713.5,145221.5,148158.5,112335.5,94562.5,74981.5,107781,59269.5,48511.5,34135.5,11741.5,2266.5,368
"2021","전라북도","남자",888453,24966.5,38755,42951,46304,59019,53623,43337,51906,61597,73363.5,78960.5,74947,74023.5,54815,44255,31040,34590,21333.5,13256.5,10155,2653.5,402,46
"2021","전라북도","여자",897868.5,23899.5,36532.5,40412.5,42731,50565.5,45180,39488.5,49748,58786,68402,72753,70274.5,74135,57520.5,50307.5,43941.5,73191,37936,35255,23980.5,9088,1864.5,322
"2021","전라남도","계",1833020.5,53289.5,74628,80631,84444.5,103290.5,93381,79697,101498,118112,136037,154894.5,155893,158945,118072.5,103131.5,87982,129093.5,73824,55269.5,38416,13524.5,2904.5,424.5
"2021","전라남도","남자",922030,27243.5,37967,41515.5,44022,57584,52351,42102.5,53282.5,62455,73300,83909,83158.5,81342.5,58583,48757,35627,38830,25194.5,13635.5,10371.5,2764.5,452.5,47
